Company,Ratings,Founded,Indian_Headquarter_City,Indian_Headquarter_Country,Main_Headquarter_City,Main_Headquarter_Country,Indian_Employee_Count,Global_Employee_Count,Industry,Highly_Rated,Critically_Rated,Job_Security_Rating,WorkLife_Rating,Company_Culture_Rating,Skill_Development_Rating,Work_Satisfaction_Rating,Compensation_Rating,Career_Growth_Rating
HomeLane,3.3,2014.0,"Bangalore,Karnataka",India,"Bangalore,Karnataka",India,2501.0,1001-5000,Architecture & Interior Design,"Promotions, Job security, Work-life balance",,2.7,2.9,3.1,3.1,3.0,3.4,2.7
"Commonwealth-Bank-of-Australia,-India",2.8,,,,,,,,,,,,,,,,,
HT-Media,3.1,1924.0,"Delhi/NCR, Delhi",India,"Delhi/NCR, Delhi",India,1587.0,1001-5000,Media & Entertainment,"Promotions, Work satisfaction, Skill development",,2.9,3.0,2.9,2.7,2.7,3.0,2.5
Regulated-Council-of-Immigration-Consultants,4.9,,,,,,,,Other,"Company culture, Job security, Salary",,4.9,4.9,4.9,4.9,4.9,4.9,4.9
Ashirvad-Pipes,3.8,1997.0,"Bangalore/Bengaluru, Karnataka",India,"Bangalore/Bengaluru, Karnataka",India,7301.0,5001-10000,Building Material,Salary,Promotions,3.5,3.7,3.6,3.7,3.5,3.9,3.2
Egis-India-Consulting-Engineers,4.2,2005.0,"Gurgaon/Gurugram, Haryana",India,"Gurgaon/Gurugram, Haryana",India,2270.0,10001-50000,Engineering & Construction,,,3.7,4.3,4.1,3.8,4.0,4.0,3.4
Alok-Industries,3.5,1986.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,11851.0,10001-50000,Fashion & Textile,"Promotions, Salary, Company culture",,3.5,3.5,3.3,3.4,3.4,3.2,2.8
Yashoda-Hospitals,3.9,1989.0,,India,,,10000.0,1001-5000,Healthcare,Promotions,,3.7,3.7,3.7,3.7,3.6,3.4,3.2
Bosch-Chassis-Systems,4.1,1951.0,,,Gerlingen,Germany,4105.0,10001-50000,Auto Components,"Company culture, Work-life balance, Skill development",Promotions,3.7,3.9,4.0,3.9,3.9,3.8,3.2
Michelin,3.7,2009.0,,,Clermont-Ferrand,France,2918.0,10001-50000,Auto Components,"Work-life balance, Job security, Company culture",Promotions,3.9,4.0,3.8,3.6,3.4,3.4,3.0
Volkswagen,4.1,2001.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",Germany,2383.0,,Automobile,"Work-life balance, Company culture, Job security",,3.9,4.0,3.9,3.9,3.8,3.7,3.4
Musashi-Auto-Parts,3.8,1938.0,"Gurgaon/Gurugram, Haryana",India,"Gurgaon/Gurugram, Haryana",India,1315.0,1001-5000,Auto Components,Promotions,,3.5,3.7,3.7,3.6,3.5,3.5,3.1
Orient-Electric,3.7,1954.0,"Delhi/NCR, Delhi",India,"Delhi/NCR, Delhi",India,1267.0,1001-5000,Consumer Electronics & Appliances,Promotions,,3.4,3.7,3.5,3.5,3.5,3.6,3.0
Vedanta-Resources,3.7,1976.0,,,London,United Kingdom (UK),17332.0,50001-100000,Metals & Mining,"Salary, Job security","Promotions, Company culture",3.8,3.4,3.3,3.6,3.4,3.9,3.3
Greenlam-Industries,4.1,1993.0,"New Delhi, Delhi",India,"New Delhi, Delhi",India,3383.0,1001-5000,Furniture & Furnishing,,,4.0,4.0,3.9,3.9,3.8,4.1,3.5
Vijay-Sales,4.1,1967.0,"Mumbai, Maharashtra",India,"Mumbai, Maharashtra",India,4000.0,1001-5000,Retail,"Job security, Salary, Company culture",,4.1,3.7,3.8,3.8,3.8,4.0,3.5
Sona-Comstar,4.0,1995.0,"Gurgaon / Gurugram, Haryana",India,"Gurgaon / Gurugram, Haryana",India,1813.0,5001-10000,Auto Components,"Company culture, Job security, Work-life balance",,3.9,3.9,3.9,3.9,3.8,3.7,3.4
Updater-Services,3.7,1985.0,"Chennai, Tamil Nadu",India,"Chennai, Tamil Nadu",India,51813.0,10001-50000,Facility Management Services,Promotions,,3.4,3.6,3.4,3.5,3.5,3.5,3.1
M3M-India,4.0,,,,,,,,,,,,,,,,,
AJIO,3.6,2016.0,Bengaluru,India,Bengaluru,India,2357.0,501-1000,Internet,"Promotions, Company culture",,3.6,3.6,3.3,3.4,3.4,3.4,2.9
